Month,Open,High,Low,Close
April-2003,,,,893.27,
May-2003,,,,1110.11,
June-2003,,,,1307.34,
July-2003,,,,1420.08,
August-2003,,,,1569.79,
September-2003,,,,1561.88,
October-2003,,,,1632.74,
November-2003,,,,1973.77,
December-2003,,,,2432.74,
January-2004,,,,2068.03,
February-2004,,,,1931.23,
March-2004,,,,1844.83,
April-2004,,,,2073.25,
May-2004,,,,1770.20,
June-2004,,,,1775.71,
July-2004,,,,1984.18,
August-2004,,,,2238.69,
September-2004,,,,2473.62,
October-2004,,,,2568.79,
November-2004,,,,3008.12,
December-2004,,,,3431.83,
January-2005,,,,3422.55,
February-2005,,,,3729.09,
March-2005,,,,3726.70,
April-2005,,,,3839.25,
May-2005,,,,4300.84,
June-2005,,,,4396.21,
July-2005,,,,4919.51,
August-2005,,,,5925.14,
September-2005,,,,5697.69,
October-2005,,,,4952.50,
November-2005,,,,5567.17,
December-2005,,,,5943.11,
January-2006,,,,6225.35,
February-2006,,,,6144.48,
March-2006,,,,6591.66,
April-2006,,,,7397.48,
May-2006,,,,6364.29,
June-2006,,,,5357.04,
July-2006,,,,5131.48,
August-2006,,,,5778.99,
September-2006,,,,6161.73,
October-2006,,,,6392.59,
November-2006,,,,6647.08,
December-2006,,,,6892.32,
January-2007,,,,7503.50,
February-2007,,,,6705.91,
March-2007,,,,6470.51,
April-2007,,,,6993.84,
May-2007,,,,7413.03,
June-2007,,,,7730.40,
July-2007,,,,8070.63,
August-2007,,,,8060.52,
September-2007,,,,9099.93,
October-2007,,,,9796.86,
November-2007,,,,10526.02,
December-2007,,,,13348.37,
January-2008,,,,10124.42,
February-2008,,,,9628.13,
March-2008,,,,7841.62,
April-2008,,,,8773.57,
May-2008,,,,8133.04,
June-2008,,,,6701.96,
July-2008,,,,6912.79,
August-2008,,,,6891.64,
September-2008,,,,5577.47,
October-2008,,,,3765.11,
November-2008,,,,3304.61,
December-2008,,,,3683.11,
January-2009,,,,3339.05,
February-2009,,,,3106.01,
March-2009,,,,3246.63,
April-2009,,,,3940.90,
May-2009,,,,5986.82,
June-2009,,,,5740.04,
July-2009,,,,6205.83,
August-2009,,,,6997.03,
September-2009,,,,7590.04,
October-2009,,,,7058.72,
November-2009,,,,7522.98,
December-2009,,,,8357.62,
January-2010,,,,8232.68,
February-2010,,,,8067.40,
March-2010,,,,8497.43,
April-2010,,,,9207.14,
May-2010,,,,8547.16,
June-2010,,,,9071.20,
July-2010,,,,9348.97,
August-2010,,,,9540.56,
September-2010,,,,10245.70,
October-2010,,,,10597.59,
November-2010,,,,9744.71,
December-2010,,,,9670.31,
January-2011,,,,8477.82,
February-2011,,,,7817.32,
March-2011,,,,8175.89,
April-2011,,,,8715.31,
May-2011,,,,8235.72,
June-2011,,,,8156.60,
July-2011,,,,8305.58,
August-2011,,,,7131.48,
September-2011,,,,6881.08,
October-2011,,,,6974.61,
November-2011,,,,6097.26,
December-2011,,,,5550.14,
January-2012,,,,6463.30,
February-2012,,,,6859.97,
March-2012,,,,6629.38,
April-2012,,,,6764.62,
May-2012,,,,6271.00,
June-2012,,,,6543.75,
July-2012,,,,6447.89,
August-2012,,,,6395.09,
September-2012,,,,7017.89,
October-2012,,,,6989.17,
November-2012,,,,7275.65,
December-2012,,,,7379.94,
January-2013,,,,7074.07,
February-2013,,,,6206.22,
March-2013,,,,5804.65,
April-2013,,,,6021.16,
May-2013,,,,5943.46,
June-2013,,,,5643.52,
July-2013,,,,5311.06,
August-2013,,,,5191.25,
September-2013,,,,5466.24,
October-2013,,,,5896.11,
November-2013,,,,6099.52,
December-2013,,,,6551.13,
January-2014,,,,6263.35,
February-2014,,,,6445.04,
March-2014,,,,7071.96,
April-2014,,,,7489.87,
May-2014,,,,9015.73,
June-2014,,,,10203.19,
July-2014,,,,9989.42,
August-2014,,,,10264.45,
September-2014,,,,10681.46,
October-2014,,,,10930.95,
November-2014,,,,11270.79,
December-2014,,,,11087.07,
January-2015,,,,11329.26,
February-2015,,,,11266.44,
March-2015,,,,10890.45,
April-2015,10913.15,12002.18,,10944.03,
May-2015,10997.30,11293.79,10598.29,11280.57,
June-2015,11290.75,11317.26,10522.80,11075.35,
July-2015,11091.00,11851.41,11089.37,11830.80,
August-2015,11861.40,12203.64,10178.98,10971.27,
September-2015,10942.52,11038.02,10269.93,11020.83,
October-2015,11054.60,11673.26,11029.68,11315.39,
November-2015,11328.51,11656.47,10822.82,11636.49,
December-2015,11656.20,11845.44,11142.60,11836.71,
January-2016,11845.46,12008.85,10186.93,10869.84,
February-2016,10915.75,10984.18,9399.43,9548.33,
March-2016,9558.52,10554.51,9557.56,10541.68,
April-2016,10551.97,11212.69,10534.27,11020.59,
May-2016,11022.93,11230.86,10825.84,11142.42,
June-2016,11159.46,11813.87,10969.61,11801.32,
July-2016,11823.94,12370.86,11821.31,12309.95,
August-2016,12355.32,12698.47,12061.03,12648.79,
September-2016,12664.95,13154.81,12423.13,12780.80,
October-2016,12829.72,13594.67,12829.64,13583.14,
November-2016,13595.27,13619.30,11462.87,12329.65,
December-2016,12367.77,12406.31,11516.23,12046.13,
January-2017,12082.10,13170.17,12078.39,12935.66,
February-2017,12952.47,13703.94,12933.37,13690.81,
March-2017,13723.04,14447.47,13546.02,14433.86,
April-2017,14466.98,15486.40,14466.74,15372.51,
May-2017,15420.72,15750.03,14518.20,15080.21,
June-2017,15100.80,15810.78,15057.09,15410.52,
July-2017,15445.42,16186.13,15445.14,16093.56,
August-2017,16130.73,16153.56,14700.83,15991.63,
September-2017,16034.61,16981.65,15718.33,16113.68,
October-2017,16186.66,17624.84,16162.30,17600.49,
November-2017,17667.89,18324.83,17227.39,18228.87,
December-2017,18296.20,19262.44,17670.39,19230.72,
January-2018,19272.67,20183.45,18621.07,18716.77,
February-2018,18756.89,18884.74,16944.94,18127.93,
March-2018,18151.85,18239.80,16650.70,16994.36,
April-2018,17067.67,18409.96,17060.47,18401.67,
May-2018,18432.73,18457.26,16884.44,17249.45,
June-2018,17240.31,17259.20,15708.80,16032.15,
July-2018,16093.44,16591.71,15602.97,16584.16,
August-2018,16628.57,17216.74,16531.09,17193.20,
September-2018,17243.10,17334.16,14325.21,14430.68,
October-2018,14428.67,14751.93,13396.84,14201.37,
November-2018,14264.87,14742.04,14253.98,14427.16,
December-2018,14464.37,14855.31,13715.61,14706.69,
January-2019,14724.03,14790.99,13652.03,13926.22,
February-2019,13961.93,14064.51,13099.46,13689.84,
March-2019,13719.93,15034.53,13719.80,15027.36,
April-2019,15069.13,15229.85,14585.92,14624.56,
May-2019,14653.64,15039.53,13693.41,14867.04,
June-2019,14882.18,15022.09,13803.07,14239.33,
July-2019,14275.76,14375.47,12492.30,12692.18,
August-2019,12698.94,12755.07,11950.86,12534.70,
September-2019,12536.96,13648.30,12321.25,13170.76,
October-2019,13190.78,13583.13,12669.63,13558.05,
November-2019,13598.71,13729.32,13310.46,13560.57,
December-2019,13584.07,13716.74,13103.54,13699.37,
January-2020,13720.24,14946.21,13686.28,14667.96,
February-2020,14682.36,14887.06,13654.93,13709.01,
March-2020,13825.94,13996.37,8622.24,9608.92,
April-2020,9642.76,11204.15,9379.26,11101.84,
May-2020,11031.00,11031.00,10348.83,10892.60,
June-2020,11044.96,12801.11,11032.21,12380.75,
July-2020,12393.14,13076.38,12363.73,13021.76,
August-2020,13058.96,15132.57,13043.93,14336.18,
September-2020,14275.42,15461.62,14115.44,14867.36,
October-2020,14969.92,15213.54,14589.98,14888.08,
November-2020,14939.89,16912.34,14758.50,16875.15,
December-2020,16982.23,18137.85,16387.53,18098.11,
January-2021,18137.88,19085.82,17882.62,17988.20,
February-2021,18124.24,20321.33,17912.40,20155.35,
March-2021,20373.44,21419.84,19726.12,20649.33,
April-2021,20792.67,21880.77,20282.07,21670.11,
May-2021,21603.71,23743.32,21581.43,23595.98,
June-2021,23722.88,25299.64,23424.24,25232.17,
July-2021,25338.97,26895.93,25244.90,26786.62,
August-2021,26986.66,27323.18,25151.96,26919.94,
September-2021,27050.42,28456.90,26861.85,28081.74,
October-2021,28070.45,30416.82,27468.91,27982.80,
November-2021,28132.43,29483.93,26919.51,27937.31,
December-2021,28122.84,29599.07,27186.02,29457.76,
January-2022,29607.88,31304.44,27807.69,29226.73,
February-2022,29481.76,30103.33,25331.79,26662.33,
March-2022,26573.08,28370.23,25443.21,28215.65,
April-2022,28311.07,30001.68,28298.41,28611.92,
May-2022,28373.81,28572.71,24592.41,26370.81,
June-2022,26503.29,26944.59,23261.39,24786.42,
July-2022,24793.95,27076.40,24494.80,27056.38,
August-2022,27211.84,28674.75,27111.96,28650.88,
September-2022,28580.73,30185.95,27616.79,28452.91,
October-2022,28424.01,29201.19,28159.86,28817.59,
November-2022,28841.73,29560.28,28649.73,29519.61,
December-2022,29614.27,30104.74,27051.92,28926.79,
January-2023,28980.35,29311.16,27353.31,28205.89,
February-2023,28363.43,28612.06,27162.03,27341.14,
March-2023,27339.03,28321.36,26120.32,26957.01,
April-2023,27043.18,28944.79,27042.08,28917.07,
May-2023,28985.46,30554.15,28985.46,30524.82,
June-2023,30568.38,32765.32,30565.54,32602.14,
July-2023,32694.64,35039.71,32693.70,35002.32,
August-2023,35093.34,37197.20,34460.20,37143.67,
September-2023,37208.52,38769.33,36549.37,37562.23,
October-2023,37690.67,38753.80,35271.13,36919.10,
November-2023,37041.13,40407.85,36856.54,40371.61,
December-2023,40587.78,42728.21,40273.91,42673.76,
January-2024,42854.34,45763.05,42476.90,45722.58,
February-2024,46015.69,46821.39,43200.02,45225.10,
March-2024,45552.28,46000.31,40097.13,43166.34,
April-2024,43552.14,47599.25,43551.37,47315.93,
May-2024,47509.66,48353.57,44489.06,47263.66,
June-2024,48792.56,52542.41,43224.74,52130.41,
July-2024,52404.70,55685.07,50761.94,55332.24,
August-2024,55622.61,56416.31,51933.80,56021.55,
September-2024,56296.64,57728.08,55002.47,57130.93,
October-2024,57263.42,57601.39,53672.65,56500.05,
